,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 09, 2024",410.59,412.72,409.10,412.31,412.31,"9,333,593"
1,"May 08, 2024",408.17,412.23,406.71,410.54,410.54,"11,792,300"
2,"May 07, 2024",414.66,414.67,409.09,409.34,409.34,"20,018,200"
3,"May 06, 2024",408.76,413.93,406.37,413.54,413.54,"16,996,600"
4,"May 03, 2024",402.28,407.15,401.86,406.66,406.66,"17,446,700"
5,"May 02, 2024",397.66,399.93,394.65,397.84,397.84,"17,709,400"
6,"May 01, 2024",392.61,401.72,390.31,394.94,394.94,"23,562,500"
7,"Apr 30, 2024",401.49,402.16,389.17,389.33,389.33,"28,781,400"
8,"Apr 29, 2024",405.25,406.32,399.19,402.25,402.25,"19,582,100"
9,"Apr 26, 2024",412.17,413.00,405.76,406.32,406.32,"29,694,700"
10,"Apr 25, 2024",394.03,399.89,388.03,399.04,399.04,"40,586,500"
11,"Apr 24, 2024",409.56,412.47,406.78,409.06,409.06,"15,065,300"
12,"Apr 23, 2024",404.24,408.20,403.06,407.57,407.57,"15,734,500"
13,"Apr 22, 2024",400.08,402.85,395.75,400.96,400.96,"20,286,900"
14,"Apr 19, 2024",404.03,405.48,397.77,399.12,399.12,"30,276,500"
15,"Apr 18, 2024",410.63,411.89,403.95,404.27,404.27,"21,029,900"
16,"Apr 17, 2024",417.25,418.88,410.33,411.84,411.84,"15,855,500"
17,"Apr 16, 2024",414.57,418.40,413.73,414.58,414.58,"16,765,600"
18,"Apr 15, 2024",426.60,426.82,413.43,413.64,413.64,"20,273,500"
19,"Apr 12, 2024",424.05,425.18,419.77,421.90,421.90,"19,232,100"
20,"Apr 11, 2024",425.82,429.37,422.36,427.93,427.93,"17,966,400"
21,"Apr 10, 2024",422.19,424.03,419.70,423.26,423.26,"16,216,600"
22,"Apr 09, 2024",426.44,427.74,421.62,426.28,426.28,"12,512,300"
23,"Apr 08, 2024",425.17,427.28,423.30,424.59,424.59,"14,272,400"
24,"Apr 05, 2024",420.01,426.51,418.32,425.52,425.52,"16,544,300"
25,"Apr 04, 2024",424.99,428.67,417.57,417.88,417.88,"19,370,900"
26,"Apr 03, 2024",419.73,423.26,419.09,420.45,420.45,"16,502,300"
27,"Apr 02, 2024",420.11,422.38,417.84,421.44,421.44,"17,912,000"
28,"Apr 01, 2024",423.95,427.89,422.22,424.57,424.57,"16,316,000"
29,"Mar 28, 2024",420.96,421.87,419.12,420.72,420.72,"21,871,200"
30,"Mar 27, 2024",424.44,424.45,419.01,421.43,421.43,"16,705,000"
31,"Mar 26, 2024",425.61,425.99,421.35,421.65,421.65,"16,725,600"
32,"Mar 25, 2024",425.24,427.41,421.61,422.86,422.86,"18,060,500"
33,"Mar 22, 2024",429.70,429.86,426.07,428.74,428.74,"17,636,500"
34,"Mar 21, 2024",429.83,430.82,427.16,429.37,429.37,"21,296,200"
35,"Mar 20, 2024",422.00,425.96,420.66,425.23,425.23,"17,860,100"
36,"Mar 19, 2024",417.83,421.67,415.55,421.41,421.41,"19,837,900"
37,"Mar 18, 2024",414.25,420.73,413.78,417.32,417.32,"20,106,000"
38,"Mar 15, 2024",419.29,422.60,412.79,416.42,416.42,"45,049,800"
39,"Mar 14, 2024",420.24,427.82,417.99,425.22,425.22,"34,157,300"
40,"Mar 13, 2024",418.10,418.18,411.45,415.10,415.10,"17,115,900"
41,"Mar 12, 2024",407.62,415.57,406.79,415.28,415.28,"22,457,000"
42,"Mar 11, 2024",403.76,405.68,401.26,404.52,404.52,"16,120,800"
43,"Mar 08, 2024",407.96,410.42,404.33,406.22,406.22,"17,971,700"
44,"Mar 07, 2024",406.12,409.78,402.24,409.14,409.14,"18,718,500"
